Date,         SSRN
1934-07-01,   37.000
1934-08-01,  399.000
1934-09-01,   99.000
1934-10-01,   26.000
1934-11-01,   -7.000
1934-12-01,   -4.000
1935-01-01,    7.000
1935-02-01,   10.000
1935-03-01,   25.000
1935-04-01,   -3.000
1935-05-01,  -32.000
1935-06-01,  205.000
1935-07-01,  265.000
1935-08-01,  745.000
1935-09-01,  188.000
1935-10-01,   41.000
1935-11-01,   11.000
1935-12-01,   -2.000
1936-01-01,   -6.000
1936-02-01,   12.000
1936-03-01,   -9.000
1936-04-01,   83.000
1936-05-01,  223.000
1936-06-01,  211.000
1936-07-01,  337.000
1936-08-01,  777.000
1936-09-01,  249.000
1936-10-01,   43.000
1936-11-01,   79.000
1936-12-01,    8.000
1937-01-01,   -6.000
1937-02-01,   -5.000
1937-03-01,   -2.000
1937-04-01,  -27.000
1937-05-01,  -15.000
1937-06-01, -106.000
1937-07-01,   91.000
1937-08-01,  351.000
1937-09-01,  142.000
1937-10-01,   44.000
1937-11-01,   13.000
1937-12-01,   -3.000
1938-01-01,   -5.000
1938-02-01,   -7.000
1938-03-01,   72.000
1938-04-01,  -33.000
1938-05-01,   14.000
1938-06-01,  -45.000
1938-07-01,  202.000
1938-08-01,  280.000
1938-09-01,  212.000
1938-10-01,  128.000
1938-11-01,   13.000
1938-12-01,   -4.000
1939-01-01,   -5.000
1939-02-01,    1.000
1939-03-01,   11.000
1939-04-01,  -31.000
1939-05-01,  121.000
1939-06-01,   17.000
1939-07-01,   91.000
1939-08-01,  444.000
1939-09-01,  305.000
1939-10-01,  119.000
1939-11-01,    8.000
1939-12-01,   11.000
1940-01-01,    3.000
1940-02-01,   -8.000
1940-03-01,   -6.000
1940-04-01,  -19.000
1940-05-01,   -2.000
1940-06-01,   63.000
1940-07-01, -120.000
1940-08-01,  333.000
1940-09-01,   19.000
1940-10-01,  254.000
1940-11-01,   -1.000
1940-12-01,   -4.000
1941-01-01,    0.000
1941-02-01,   -8.000
1941-03-01,    1.000
1941-04-01,    9.000
1941-05-01,   99.000
1941-06-01,   44.000
1941-07-01,  -19.000
1941-08-01, -192.000
1941-09-01,   86.000
1941-10-01, -146.000
1941-11-01,   24.000
1941-12-01,   -2.000
1942-01-01,    0.000
1942-02-01,    7.000
1942-03-01,   -6.000
1942-04-01,   27.000
1942-05-01,  109.000
1942-06-01, -142.000
1942-07-01,  -42.000
1942-08-01,  251.000
1942-09-01, -284.000
1942-10-01,   39.000
1942-11-01,   39.000
1942-12-01,   16.000
1943-01-01,    1.000
1943-02-01,   -1.000
1943-03-01,   15.000
1943-04-01,    0.000
1943-05-01,   56.000
1943-06-01,   51.000
1943-07-01,   32.000
1943-08-01,  648.000
1943-09-01,  496.000
1943-10-01,   76.000
1943-11-01,    8.000
1943-12-01,   68.000
1944-01-01,   -5.000
1944-02-01,   -6.000
1944-03-01,    8.000
1944-04-01,    6.000
1944-05-01, -144.000
1944-06-01,   16.000
1944-07-01, -172.000
1944-08-01,   59.000
1944-09-01,  168.000
1944-10-01,  173.000
1944-11-01,   31.000
1944-12-01,    6.000
1945-01-01,   -5.000
1945-02-01,   -8.000
1945-03-01,  -17.000
1945-04-01,   -2.000
1945-05-01,    3.000
1945-06-01, -118.000
1945-07-01,  198.000
1945-08-01,  789.000
1945-09-01,  289.000
1945-10-01,   86.000
1945-11-01,    5.000
1945-12-01,   -5.000
1946-01-01,    8.000
1946-02-01,   -7.000
1946-03-01,    2.000
1946-04-01,  -30.000
1946-05-01,  -11.000
1946-06-01,  -27.000
1946-07-01,  257.000
1946-08-01,  324.000
1946-09-01,  310.000
1946-10-01,  180.000
1946-11-01,   -4.000
1946-12-01,   -2.000
1947-01-01,   -2.000
1947-02-01,    3.000
1947-03-01,  -22.000
1947-04-01,  -54.000
1947-05-01, -121.000
1947-06-01,    4.000
1947-07-01,  -72.000
1947-08-01,  359.000
1947-09-01,  212.000
1947-10-01,  -83.000
1947-11-01,   20.000
1947-12-01,    0.000
1948-01-01,   -5.000
1948-02-01,    7.000
1948-03-01,   -6.000
1948-04-01,  161.000
1948-05-01,    9.000
1948-06-01,  284.000
1948-07-01,   69.000
1948-08-01,  277.000
1948-09-01, -105.000
1948-10-01,  -50.000
1948-11-01,  -10.000
1948-12-01,   -4.000
1949-01-01,    1.000
1949-02-01,   -7.000
1949-03-01,   15.000
1949-04-01,   14.000
1949-05-01,  -48.000
1949-06-01,  -46.000
1949-07-01,   51.000
1949-08-01,  263.000
1949-09-01, -213.000
1949-10-01,  -75.000
1949-11-01,   24.000
1949-12-01,   48.000
1950-01-01,    4.000
1950-02-01,    3.000
1950-03-01,  -19.000
1950-04-01,  -33.000
1950-05-01,  -18.000
1950-06-01,  -46.000
1950-07-01,  276.000
1950-08-01, 1045.000
1950-09-01,  509.000
1950-10-01,  170.000
1950-11-01,    2.000
1950-12-01,   -2.000
1951-01-01,    2.000
1951-02-01,    2.000
1951-03-01,   37.000
1951-04-01,  -23.000
1951-05-01,  119.000
1951-06-01,  -40.000
1951-07-01,  -29.000
1951-08-01,  237.000
1951-09-01,  474.000
1951-10-01,  720.000
1951-11-01,   83.000
1951-12-01,   -3.000
1952-01-01,   -4.000
1952-02-01,   -6.000
1952-03-01,  -13.000
1952-04-01,  -35.000
1952-05-01,   81.000
1952-06-01,  -23.000
1952-07-01,  273.000
1952-08-01,  355.000
1952-09-01,  904.000
1952-10-01,  104.000
1952-11-01,    0.000
1952-12-01,    2.000
1953-01-01,   -2.000
1953-02-01,   12.000
1953-03-01,   29.000
1953-04-01,  -33.000
1953-05-01,  278.000
1953-06-01,  289.000
1953-07-01,  451.000
1953-08-01,  188.000
1953-09-01,  214.000
1953-10-01,   88.000
1953-11-01,   21.000
1953-12-01,   27.000
1954-01-01,   -5.000
1954-02-01,   49.000
1954-03-01,   21.000
1954-04-01,   60.000
1954-05-01,  140.000
1954-06-01,  178.000
1954-07-01,  594.000
1954-08-01,  777.000
1954-09-01,   10.000
1954-10-01,   43.000
1954-11-01,  173.000
1954-12-01,   -1.000
1955-01-01,   -2.000
1955-02-01,    3.000
1955-03-01,   52.000
1955-04-01,   35.000
1955-05-01,    5.000
1955-06-01,  248.000
1955-07-01,  524.000
1955-08-01,  192.000
1955-09-01,  410.000
1955-10-01,  101.000
1955-11-01,    4.000
1955-12-01,   34.000
1956-01-01,   -1.000
1956-02-01,    7.000
1956-03-01,   24.000
1956-04-01,    0.000
1956-05-01,  -60.000
1956-06-01,   -1.000
1956-07-01,  206.000
1956-08-01,  317.000
1956-09-01,  332.000
1956-10-01,   20.000
1956-11-01,    9.000
1956-12-01,   91.000
1957-01-01,    0.000
1957-02-01,   -4.000
1957-03-01,    2.000
1957-04-01,   14.000
1957-05-01,  183.000
1957-06-01,  200.000
1957-07-01,  215.000
1957-08-01,  321.000
1957-09-01,  412.000
1957-10-01,  338.000
1957-11-01,   44.000
1957-12-01,    6.000
1958-01-01,   14.000
1958-02-01,    1.000
1958-03-01,   -2.000
1958-04-01,   36.000
1958-05-01,   10.000
1958-06-01,  256.000
1958-07-01,  272.000
1958-08-01,  860.000
1958-09-01,  165.000
1958-10-01,   -5.000
1958-11-01,  153.000
1958-12-01,    0.000
1959-01-01,   -3.000
1959-02-01,   -2.000
1959-03-01,   -5.000
1959-04-01,  -27.000
1959-05-01,   90.000
1959-06-01,  -75.000
1959-07-01,  -51.000
1959-08-01,  771.000
1959-09-01,  178.000
1959-10-01, -139.000
