date;Country;Moughataa/Department;Commune/Municipality;arvi;arvi_category;evi;evi_category;ndvi;ndvi_category;sipi;sipi_category;spi_1;spi_1_category;spi_3;spi_3_category;spi_6;spi_6_category;spi_9;spi_9_category;spi_12;spi_12_category
01/02/2021;Senegal;Diourbel;Ndindy;-0,24;3.Normal conditions;-0,35;3.Normal conditions;-0,02;3.Normal conditions;0,21;3.Normal conditions;1,23;Moderately wet;1,17;Moderately wet;1,47;Moderately wet;1,13;Moderately wet;1,13;Moderately wet
01/02/2021;Senegal;Koungheul;Lour Escale;-0,31;3.Normal conditions;-0,35;3.Normal conditions;0,01;3.Normal conditions;0,36;3.Normal conditions;1,4;Moderately wet;-0,22;Dry;2,28;Extremely wet;1,58;Extremely wet;1,57;Extremely wet
01/02/2021;Mauritania;Kobenni;Kobenni;-0,45;3.Normal conditions;-0,35;3.Normal conditions;-0,11;3.Normal conditions;0,16;3.Normal conditions;1,13;Moderately wet;0,39;Wet;2,62;Extremely wet;2,63;Extremely wet;2,65;Extremely wet
01/02/2021;Mauritania;Ould Yengé;Leweinat;-0,03;3.Normal conditions;-0,34;3.Normal conditions;0,51;3.Normal conditions;0,24;3.Normal conditions;-0,24;Dry;-0,17;Dry;2;Extremely wet;1,65;Extremely wet;1,64;Extremely wet
01/02/2021;Mauritania;Boghé;Boghe 2;-0,31;3.Normal conditions;-0,34;3.Normal conditions;-0,31;3.Normal conditions;0,15;3.Normal conditions;-0,83;Dry;-0,96;Dry;1,82;Extremely wet;0,47;Wet;0,47;Wet
01/02/2021;Mauritania;Akjoujt;Bennechab;0,05;3.Normal conditions;-0,34;3.Normal conditions;0,38;3.Normal conditions;0,15;3.Normal conditions;0,35;Wet;0,32;Wet;0,86;Wet;0,14;Wet;0,14;Wet
01/02/2021;Mauritania;F'Dérik;Fderik;-0,72;3.Normal conditions;-0,34;3.Normal conditions;-0,68;3.Normal conditions;-0,15;3.Normal conditions;-0,4;Dry;-0,58;Dry;-0,07;Dry;-0,37;Dry;-0,37;Dry
01/02/2021;Mauritania;Djiguenni;Beneamane;0,05;3.Normal conditions;-0,33;3.Normal conditions;0,74;3.Normal conditions;0,15;3.Normal conditions;1,28;Moderately wet;0,92;Wet;1,14;Moderately wet;1,95;Extremely wet;1,97;Extremely wet
01/02/2021;Senegal;Keur Massar;Malika;-0,65;3.Normal conditions;-0,33;3.Normal conditions;-0,91;3.Normal conditions;-0,05;3.Normal conditions;0,69;Wet;0,48;Wet;1,09;Moderately wet;0,81;Wet;0,81;Wet
01/02/2021;Mauritania;Maghama;Toulel;-0,05;3.Normal conditions;-0,33;3.Normal conditions;0,52;3.Normal conditions;0,26;3.Normal conditions;-0,16;Dry;-0,31;Dry;1,62;Extremely wet;0,95;Wet;0,95;Wet
01/02/2021;Mauritania;Ouad-Naga;Ouad Naga;-0,05;3.Normal conditions;-0,33;3.Normal conditions;0,34;3.Normal conditions;;;-0,07;Dry;0,8;Wet;0;Dry;-0,1;Dry;-0,1;Dry
01/02/2021;Mauritania;Sélibaby;Souvi;-0,33;3.Normal conditions;-0,32;3.Normal conditions;0,09;3.Normal conditions;0,16;3.Normal conditions;0,23;Wet;0,29;Wet;1,54;Extremely wet;1,23;Moderately wet;1,23;Moderately wet
01/02/2021;Senegal;Tivaouane;Méouane;0,02;3.Normal conditions;-0,32;3.Normal conditions;0,45;3.Normal conditions;0,22;3.Normal conditions;0,63;Wet;0,49;Wet;1,42;Moderately wet;1,14;Moderately wet;1,14;Moderately wet
