DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Aug2012,-1.38765,-1.39866,-1.54521,-1.43812,-1.46492,-1.39778,-1.31263,-1.29916,-1.25384,-1.26559,-1.39568,-1.60868,-1.68186,-1.78802,-1.85685,-1.84106,-1.83155,-1.76619,-1.71944,-1.70785,-1.71512,-1.70268,-1.70471,-1.72032,-1.71385,-1.66005,-1.61256,-1.65384,-1.67965,-1.70415,-1.73487,-1.74138,-1.7276,-1.70493,-1.71661,-1.64628,-1.54579,-1.54649,-1.51626,-1.50187,-1.49304,-1.44971,-1.42249,-1.39225,-1.38253,-1.38544,-1.3712,-1.34552
Sep2012,0.37627,-0.84118,-1.05035,-1.18728,-1.13914,-1.20748,-1.18496,-1.11485,-1.1097,-1.06943,-1.09151,-1.24302,-1.47011,-1.58228,-1.70632,-1.77489,-1.75856,-1.75407,-1.69451,-1.64778,-1.63765,-1.64939,-1.6389,-1.637,-1.6523,-1.64934,-1.59561,-1.54811,-1.59484,-1.62451,-1.6538,-1.68651,-1.69449,-1.67975,-1.65856,-1.67106,-1.60034,-1.49947,-1.50302,-1.47326,-1.45991,-1.45125,-1.40861,-1.38174,-1.35161,-1.34233,-1.34654,-1.33297
Oct2012,-1.15204,-0.28839,-1.06709,-1.19146,-1.29184,-1.23952,-1.28803,-1.26204,-1.1963,-1.18866,-1.15006,-1.16571,-1.30496,-1.51086,-1.61999,-1.74055,-1.80979,-1.7926,-1.78497,-1.72337,-1.67762,-1.6662,-1.67494,-1.66334,-1.66126,-1.6769,-1.67859,-1.62532,-1.5758,-1.6194,-1.64669,-1.67489,-1.70663,-1.71463,-1.69822,-1.6769,-1.68751,-1.62001,-1.52133,-1.52499,-1.49542,-1.48077,-1.47176,-1.42891,-1.40241,-1.37297,-1.36373,-1.36768
Nov2012,-1.74343,-1.61754,-0.69015,-1.22959,-1.29954,-1.37954,-1.32444,-1.36087,-1.32538,-1.26108,-1.25121,-1.21263,-1.22332,-1.3511,-1.54269,-1.64694,-1.75907,-1.82402,-1.80585,-1.79627,-1.73663,-1.69203,-1.68067,-1.68752,-1.67589,-1.67417,-1.68841,-1.69245,-1.64045,-1.59213,-1.63394,-1.66004,-1.68636,-1.71707,-1.72476,-1.7084,-1.68749,-1.69782,-1.63285,-1.53775,-1.5408,-1.51189,-1.49666,-1.48725,-1.44482,-1.41869,-1.38969,-1.3803
Dec2012,-0.33546,-1.1102,-1.34262,-0.63574,-1.16212,-1.24698,-1.32551,-1.27105,-1.30474,-1.27547,-1.21679,-1.20912,-1.17373,-1.18573,-1.30813,-1.49545,-1.6061,-1.71905,-1.7822,-1.76448,-1.75627,-1.69961,-1.65663,-1.64672,-1.6537,-1.64354,-1.64174,-1.65828,-1.66422,-1.61381,-1.56666,-1.60798,-1.63411,-1.66087,-1.6915,-1.69946,-1.68382,-1.66372,-1.67349,-1.60974,-1.51471,-1.51726,-1.48882,-1.47456,-1.4659,-1.42549,-1.39986,-1.37172
Jan2013,0.09147,-0.14647,-0.86137,-1.18846,-0.57357,-1.09864,-1.19658,-1.28329,-1.2431,-1.27982,-1.26034,-1.20739,-1.20006,-1.16487,-1.18031,-1.30618,-1.48489,-1.61198,-1.72905,-1.7949,-1.77561,-1.7695,-1.71199,-1.66656,-1.65694,-1.66185,-1.65276,-1.65638,-1.68442,-1.70519,-1.66418,-1.62158,-1.66226,-1.68863,-1.71169,-1.73948,-1.74749,-1.73299,-1.71193,-1.7225,-1.66207,-1.57071,-1.57101,-1.53904,-1.52692,-1.51988,-1.4802,-1.45604
Feb2013,-1.46846,-0.9638,-0.79229,-1.13853,-1.34589,-0.78359,-1.20557,-1.27135,-1.34954,-1.30699,-1.34033,-1.31418,-1.26002,-1.25049,-1.21333,-1.22532,-1.34774,-1.52208,-1.64854,-1.75977,-1.82166,-1.80102,-1.79227,-1.73314,-1.68773,-1.67734,-1.68095,-1.67124,-1.67425,-1.70194,-1.72402,-1.6825,-1.63905,-1.6778,-1.70282,-1.72427,-1.75092,-1.75862,-1.74405,-1.72337,-1.7341,-1.67464,-1.58641,-1.58562,-1.55474,-1.54224,-1.53462,-1.4948
Mar2013,-1.3506,-1.43709,-1.23723,-1.10123,-1.26693,-1.40167,-0.98969,-1.29319,-1.33046,-1.39324,-1.34975,-1.37419,-1.3482,-1.29998,-1.2906,-1.25272,-1.26116,-1.37217,-1.53557,-1.65809,-1.76209,-1.82015,-1.79604,-1.78311,-1.72653,-1.68447,-1.67542,-1.67824,-1.66843,-1.66943,-1.69808,-1.71769,-1.67815,-1.63644,-1.67187,-1.69433,-1.71454,-1.73944,-1.74625,-1.73223,-1.71291,-1.72366,-1.66653,-1.58188,-1.57949,-1.55065,-1.53959,-1.53298
Apr2013,-0.53538,-1.06355,-1.20941,-1.08526,-0.99129,-1.15525,-1.28407,-0.94138,-1.23613,-1.28018,-1.33992,-1.29984,-1.32476,-1.30636,-1.26319,-1.25578,-1.21998,-1.23005,-1.33615,-1.4991,-1.62389,-1.7288,-1.78815,-1.76074,-1.747,-1.69388,-1.65319,-1.64509,-1.64917,-1.64067,-1.63974,-1.66667,-1.68515,-1.64507,-1.60558,-1.64008,-1.66338,-1.68464,-1.70971,-1.71672,-1.70331,-1.68512,-1.6958,-1.64014,-1.55553,-1.55414,-1.52644,-1.51601
May2013,-1.57548,-1.19078,-1.28667,-1.35945,-1.26298,-1.17908,-1.28269,-1.38021,-1.1125,-1.33122,-1.35513,-1.40545,-1.36717,-1.38707,-1.36632,-1.32553,-1.31762,-1.282,-1.28906,-1.38812,-1.53858,-1.65817,-1.75455,-1.80795,-1.77917,-1.7659,-1.71366,-1.67466,-1.66603,-1.66759,-1.65875,-1.65675,-1.68141,-1.69841,-1.65979,-1.62123,-1.65228,-1.6737,-1.69322,-1.71681,-1.72302,-1.70931,-1.69176,-1.7022,-1.64901,-1.56869,-1.5667,-1.54039
Jun2013,-1.66461,-1.87124,-1.59377,-1.54764,-1.56903,-1.48003,-1.39864,-1.45774,-1.52757,-1.31309,-1.46055,-1.46079,-1.50711,-1.4686,-1.48169,-1.45623,-1.41609,-1.40734,-1.37062,-1.37354,-1.46306,-1.60237,-1.71334,-1.80145,-1.85298,-1.82436,-1.80889,-1.75552,-1.71752,-1.70831,-1.70946,-1.6999,-1.6985,-1.71946,-1.73977,-1.70447,-1.66505,-1.69289,-1.71273,-1.73028,-1.75223,-1.75788,-1.74356,-1.72628,-1.73753,-1.68732,-1.61096,-1.60905
Jul2013,-1.0088,-1.55059,-1.74589,-1.58505,-1.57051,-1.58996,-1.50667,-1.42333,-1.46926,-1.53243,-1.34918,-1.46893,-1.47353,-1.51594,-1.47861,-1.48656,-1.46055,-1.42328,-1.41487,-1.38137,-1.38424,-1.46524,-1.58975,-1.69752,-1.78584,-1.83321,-1.80895,-1.7957,-1.74828,-1.71329,-1.70529,-1.7076,-1.69864,-1.69906,-1.72185,-1.74785,-1.71682,-1.67854,-1.70496,-1.72262,-1.73788,-1.75901,-1.76503,-1.75043,-1.73379,-1.74425,-1.69577,-1.62171
Aug2013,-0.07146,-0.55663,-1.0079,-1.27807,-1.22969,-1.29998,-1.34984,-1.29251,-1.24429,-1.30987,-1.38155,-1.2109,-1.35389,-1.38036,-1.42396,-1.39704,-1.40987,-1.38952,-1.35675,-1.34978,-1.31958,-1.32375,-1.40611,-1.52746,-1.64263,-1.74066,-1.7867,-1.76489,-1.75303,-1.71042,-1.67807,-1.67188,-1.67777,-1.66943,-1.66882,-1.69638,-1.72471,-1.69401,-1.65874,-1.68437,-1.70119,-1.71844,-1.73971,-1.74684,-1.73574,-1.71955,-1.72557,-1.67643
Sep2013,0.00379,-0.12345,-0.47327,-0.86697,-1.11837,-1.09928,-1.18619,-1.24262,-1.18934,-1.14218,-1.21314,-1.2991,-1.13003,-1.29698,-1.33277,-1.37749,-1.35062,-1.36562,-1.34826,-1.31593,-1.30936,-1.2799,-1.28488,-1.36779,-1.49048,-1.60996,-1.70995,-1.75768,-1.73926,-1.72903,-1.68765,-1.65483,-1.64918,-1.65451,-1.64724,-1.64748,-1.67607,-1.70706,-1.67844,-1.64327,-1.66957,-1.68582,-1.7031,-1.72474,-1.73209,-1.72324,-1.70788,-1.71479
Oct2013,-0.54317,-0.28764,-0.28711,-0.57671,-0.90648,-1.1144,-1.09599,-1.1772,-1.22874,-1.18255,-1.14119,-1.20698,-1.29098,-1.13004,-1.29403,-1.33248,-1.37767,-1.35062,-1.36369,-1.34582,-1.31454,-1.30755,-1.27972,-1.28413,-1.36462,-1.48572,-1.60669,-1.70674,-1.75173,-1.73173,-1.72094,-1.68118,-1.64896,-1.64399,-1.64833,-1.64132,-1.63982,-1.66979,-1.69841,-1.67123,-1.63657,-1.66138,-1.67775,-1.69461,-1.7162,-1.72386,-1.71448,-1.70008
Nov2013,-0.76828,-0.78749,-0.4458,-0.38566,-0.63586,-0.93717,-1.12531,-1.10557,-1.17848,-1.22707,-1.18371,-1.14499,-1.2062,-1.28477,-1.13376,-1.29332,-1.33089,-1.37411,-1.34691,-1.35858,-1.34171,-1.31144,-1.30489,-1.27817,-1.28259,-1.36003,-1.47703,-1.59566,-1.69293,-1.73634,-1.71777,-1.70816,-1.66994,-1.63909,-1.63455,-1.63897,-1.63249,-1.63092,-1.66076,-1.6884,-1.66184,-1.62825,-1.65221,-1.66841,-1.68535,-1.70674,-1.71424,-1.7051
Dec2013,-0.94071,-0.91072,-0.87689,-0.54286,-0.45675,-0.67706,-0.95645,-1.12971,-1.10758,-1.17425,-1.21996,-1.17917,-1.1422,-1.20032,-1.27439,-1.13176,-1.2879,-1.32477,-1.36621,-1.33953,-1.35087,-1.33426,-1.30483,-1.29872,-1.27248,-1.27691,-1.35217,-1.46757,-1.58512,-1.68004,-1.72232,-1.70412,-1.69477,-1.65761,-1.62759,-1.62329,-1.6276,-1.62136,-1.61957,-1.64885,-1.67455,-1.64779,-1.6146,-1.63832,-1.65438,-1.672,-1.69262,-1.70026
Jan2014,-1.0788,-1.07316,-1.03375,-1.01277,-0.66651,-0.54673,-0.74242,-1.00716,-1.17604,-1.15414,-1.21811,-1.26289,-1.22161,-1.18305,-1.24028,-1.31741,-1.17313,-1.3345,-1.37195,-1.4149,-1.3867,-1.39822,-1.37919,-1.3477,-1.34112,-1.31382,-1.31806,-1.3964,-1.51897,-1.64964,-1.75459,-1.80326,-1.78228,-1.77158,-1.72833,-1.6943,-1.68958,-1.69462,-1.68715,-1.68607,-1.72011,-1.75386,-1.72343,-1.68593,-1.71225,-1.73016,-1.74943,-1.77298
Feb2014,0.27787,-0.40252,-0.64365,-0.76145,-0.81271,-0.53886,-0.47917,-0.67792,-0.93924,-1.10702,-1.09025,-1.16054,-1.20872,-1.16962,-1.13281,-1.19169,-1.2693,-1.12892,-1.29687,-1.3377,-1.38045,-1.35256,-1.36427,-1.34707,-1.31669,-1.31072,-1.28426,-1.2895,-1.36686,-1.48999,-1.62001,-1.72505,-1.77257,-1.7518,-1.74196,-1.70027,-1.66684,-1.66268,-1.66847,-1.66221,-1.66121,-1.69496,-1.72817,-1.6977,-1.66201,-1.68893,-1.7073,-1.72747
Mar2014,0.07285,0.17863,-0.18725,-0.37252,-0.52533,-0.62011,-0.41411,-0.39789,-0.59378,-0.83894,-0.99433,-0.98329,-1.05968,-1.11122,-1.07887,-1.04602,-1.10545,-1.17892,-1.05272,-1.2216,-1.26781,-1.31045,-1.28339,-1.29507,-1.28224,-1.25513,-1.25119,-1.22675,-1.23334,-1.30653,-1.42837,-1.55093,-1.65409,-1.70048,-1.68111,-1.67267,-1.63573,-1.60451,-1.60096,-1.60771,-1.60343,-1.60266,-1.63464,-1.66271,-1.63302,-1.60027,-1.62881,-1.64909
Apr2014,-0.6535,-0.30645,-0.1708,-0.36642,-0.46807,-0.58523,-0.66408,-0.47522,-0.4384,-0.6122,-0.83633,-0.97959,-0.96943,-1.04258,-1.09265,-1.06261,-1.0308,-1.08865,-1.15874,-1.04154,-1.20659,-1.25317,-1.29602,-1.26806,-1.27901,-1.26755,-1.2414,-1.23788,-1.21407,-1.22071,-1.29084,-1.40895,-1.52737,-1.62589,-1.67177,-1.65299,-1.64613,-1.61151,-1.58175,-1.57855,-1.5853,-1.58161,-1.58113,-1.61239,-1.63752,-1.60963,-1.57813,-1.60616
May2014,0.85483,0.13641,0.11814,0.15241,-0.04322,-0.16155,-0.29348,-0.42098,-0.29661,-0.30101,-0.48279,-0.70324,-0.84363,-0.84037,-0.92076,-0.97388,-0.9493,-0.92229,-0.98344,-1.0537,-0.94501,-1.11316,-1.16607,-1.20924,-1.18416,-1.19845,-1.19186,-1.16845,-1.16645,-1.1451,-1.15378,-1.22178,-1.33873,-1.45167,-1.55023,-1.59558,-1.57829,-1.57383,-1.54361,-1.51605,-1.51375,-1.52149,-1.51955,-1.5189,-1.54934,-1.5706,-1.5446,-1.51527
Jun2014,-1.31646,-0.59172,-0.64698,-0.48122,-0.417,-0.5268,-0.56931,-0.64007,-0.69105,-0.54428,-0.50703,-0.64813,-0.83718,-0.95934,-0.95208,-1.01813,-1.06318,-1.03852,-1.00856,-1.06151,-1.12471,-1.02279,-1.17874,-1.22474,-1.26497,-1.23984,-1.25035,-1.2408,-1.21729,-1.2145,-1.19222,-1.19933,-1.26372,-1.3727,-1.48321,-1.57983,-1.62222,-1.60386,-1.59911,-1.56896,-1.54148,-1.53896,-1.54582,-1.54386,-1.54395,-1.57488,-1.59716,-1.57196
